Epoch [1/400], Loss: 224353.88151041666, MAE: 102.3824698311942, Val Loss: 195266.828125, Val MAE: 113.22503662109375
Epoch [2/400], Loss: 100003.11111111111, MAE: 68.32499128069196, Val Loss: 60065.748697916664, Val MAE: 62.736785125732425
Epoch [3/400], Loss: 83168.45768229167, MAE: 55.194686017717636, Val Loss: 57249.9462890625, Val MAE: 61.11432037353516
Epoch [4/400], Loss: 85255.89670138889, MAE: 67.4263660975865, Val Loss: 96154.4375, Val MAE: 87.90670928955078
Epoch [5/400], Loss: 73154.44965277778, MAE: 60.13253086635044, Val Loss: 137241.26822916666, Val MAE: 102.0658172607422
Epoch [6/400], Loss: 70175.03298611111, MAE: 57.71090000697544, Val Loss: 67598.58984375, Val MAE: 69.14380798339843
Epoch [7/400], Loss: 73190.3671875, MAE: 59.46006600516183, Val Loss: 57904.403971354164, Val MAE: 61.478467559814455
Epoch [8/400], Loss: 70922.82877604167, MAE: 60.463421194893975, Val Loss: 63677.197265625, Val MAE: 68.17982864379883
Epoch [9/400], Loss: 70750.46706814236, MAE: 59.93383298601423, Val Loss: 73250.59635416667, Val MAE: 69.5469757080078
Epoch [10/400], Loss: 73701.96267361111, MAE: 57.64434901646205, Val Loss: 69053.43359375, Val MAE: 67.41399688720703
Epoch [11/400], Loss: 75041.85286458333, MAE: 63.13810076032366, Val Loss: 91647.39322916667, Val MAE: 82.57752990722656
Epoch [12/400], Loss: 72888.41710069444, MAE: 59.13911873953683, Val Loss: 62580.8515625, Val MAE: 63.01384582519531
Epoch [13/400], Loss: 68601.89908854167, MAE: 57.05839473179409, Val Loss: 55820.154622395836, Val MAE: 59.885511779785155
Epoch [14/400], Loss: 71415.74262152778, MAE: 62.11136431012835, Val Loss: 57510.59375, Val MAE: 64.88815689086914
Epoch [15/400], Loss: 65973.59223090278, MAE: 57.31284048897879, Val Loss: 85668.30989583333, Val MAE: 78.85653076171874
Epoch [16/400], Loss: 71021.08116319444, MAE: 56.78890947614397, Val Loss: 54518.376302083336, Val MAE: 64.63228302001953
Epoch [17/400], Loss: 65768.00998263889, MAE: 57.42738385881697, Val Loss: 59059.60546875, Val MAE: 68.32694091796876
Epoch [18/400], Loss: 74035.86588541667, MAE: 57.86546587262835, Val Loss: 65881.85026041667, Val MAE: 67.00661926269531
Epoch [19/400], Loss: 67183.84776475694, MAE: 57.84712764195034, Val Loss: 75542.42447916667, Val MAE: 72.87927703857422
Epoch [20/400], Loss: 65053.58962673611, MAE: 58.52157810756138, Val Loss: 86920.421875, Val MAE: 82.53367614746094
Epoch [21/400], Loss: 66041.46918402778, MAE: 53.625273786272324, Val Loss: 52014.361002604164, Val MAE: 47.37680511474609
Epoch [22/400], Loss: 56795.34526909722, MAE: 53.896969604492185, Val Loss: 30302.844563802082, Val MAE: 42.65072250366211
Epoch [23/400], Loss: 73477.40798611111, MAE: 57.33546077183315, Val Loss: 66764.1259765625, Val MAE: 62.50141372680664
Epoch [24/400], Loss: 67806.17100694444, MAE: 58.71453334263393, Val Loss: 68674.23372395833, Val MAE: 65.19730682373047
Epoch [25/400], Loss: 62499.21310763889, MAE: 54.71148681640625, Val Loss: 58161.072916666664, Val MAE: 63.38033828735352
Epoch [26/400], Loss: 60460.188368055555, MAE: 55.514127894810265, Val Loss: 65819.57942708333, Val MAE: 68.37897644042968
Epoch [27/400], Loss: 56465.481770833336, MAE: 50.00154549734933, Val Loss: 83956.33723958333, Val MAE: 70.9406982421875
Epoch [28/400], Loss: 68195.42990451389, MAE: 54.64466029575893, Val Loss: 57404.584635416664, Val MAE: 62.524899291992185
