Epoch [1/400], Loss: 290897.7969380697, MAE: 95.47184193929037, Val Loss: 451139.46627604164, Val MAE: 106.44341888427735
Epoch [2/400], Loss: 242566.32942708334, MAE: 84.90370407104493, Val Loss: 351734.1765625, Val MAE: 89.9263682047526
Epoch [3/400], Loss: 227731.0199625651, MAE: 84.0617652575175, Val Loss: 406553.56197916664, Val MAE: 89.87213795979818
Epoch [4/400], Loss: 261700.03470865884, MAE: 88.45295101801554, Val Loss: 342551.14114583336, Val MAE: 94.78660202026367
Epoch [5/400], Loss: 243216.5348470052, MAE: 82.44560550053914, Val Loss: 344526.0994791667, Val MAE: 91.4815678914388
Epoch [6/400], Loss: 237756.86399739582, MAE: 83.97016983032226, Val Loss: 339610.886328125, Val MAE: 95.26022364298503
Epoch [7/400], Loss: 237744.56025390624, MAE: 86.48561725616455, Val Loss: 365291.635546875, Val MAE: 87.01883799235026
Epoch [8/400], Loss: 246766.40390625, MAE: 83.01476281483968, Val Loss: 332048.87526041665, Val MAE: 94.05298080444337
Epoch [9/400], Loss: 229651.61490885416, MAE: 82.72734171549479, Val Loss: 338422.93333333335, Val MAE: 96.642738087972
Epoch [10/400], Loss: 236734.4818847656, MAE: 85.7518671989441, Val Loss: 366859.121875, Val MAE: 87.76440366109212
Epoch [11/400], Loss: 238941.2620361328, MAE: 84.49578886032104, Val Loss: 343656.0748046875, Val MAE: 98.08764953613282
Epoch [12/400], Loss: 236465.95928548177, MAE: 82.39006678263347, Val Loss: 319649.5486979167, Val MAE: 98.10745366414388
Epoch [13/400], Loss: 240373.84453125, MAE: 85.21662893295289, Val Loss: 354611.9485677083, Val MAE: 90.65101076761881
Epoch [14/400], Loss: 222601.39760742188, MAE: 81.64063100814819, Val Loss: 368492.61171875, Val MAE: 90.83642985026042
Epoch [15/400], Loss: 230107.53665364583, MAE: 83.08822790781657, Val Loss: 340051.79934895836, Val MAE: 99.43677215576172
Epoch [16/400], Loss: 242593.431640625, MAE: 85.01150862375896, Val Loss: 322882.03268229164, Val MAE: 88.53916193644206
Epoch [17/400], Loss: 226081.98157552083, MAE: 81.42662350336711, Val Loss: 365581.93515625, Val MAE: 118.38309249877929
Epoch [18/400], Loss: 223771.05883789062, MAE: 82.14662755330404, Val Loss: 348024.5885416667, Val MAE: 95.92530314127605
Epoch [19/400], Loss: 237907.31339518228, MAE: 84.40178508758545, Val Loss: 361352.54791666666, Val MAE: 113.95949350992838
Epoch [20/400], Loss: 224682.5776204427, MAE: 82.80057992935181, Val Loss: 357965.97604166664, Val MAE: 111.5432637532552
Epoch [21/400], Loss: 238982.3627278646, MAE: 85.8426796913147, Val Loss: 331900.53046875, Val MAE: 92.88304748535157
Epoch [22/400], Loss: 237011.95927734376, MAE: 85.82387148539225, Val Loss: 346542.7093098958, Val MAE: 93.27994435628256
Epoch [23/400], Loss: 240182.44016927082, MAE: 83.23341016769409, Val Loss: 348276.1315104167, Val MAE: 109.80484237670899
Epoch [24/400], Loss: 238582.76279296874, MAE: 85.8103556950887, Val Loss: 354304.2266927083, Val MAE: 102.08970565795899
Epoch [25/400], Loss: 229091.94373372395, MAE: 84.75460847218831, Val Loss: 327788.2576822917, Val MAE: 93.8330581665039
Epoch [26/400], Loss: 249622.59757486978, MAE: 86.60221827824911, Val Loss: 341269.5391927083, Val MAE: 91.6600159962972
Epoch [27/400], Loss: 235239.49095052082, MAE: 85.23161122004191, Val Loss: 344530.6016927083, Val MAE: 99.63035990397135
Epoch [28/400], Loss: 238014.71253255208, MAE: 84.5397206624349, Val Loss: 344020.371875, Val MAE: 99.98293736775716
Epoch [29/400], Loss: 236662.41136067707, MAE: 83.588951365153, Val Loss: 343838.51328125, Val MAE: 99.21552912394206
Epoch [30/400], Loss: 234581.21194661458, MAE: 84.98845065434774, Val Loss: 364952.99270833336, Val MAE: 88.65670216878256
Epoch [31/400], Loss: 235786.27237955728, MAE: 82.99503803253174, Val Loss: 356405.8059895833, Val MAE: 90.45470606486002
Epoch [32/400], Loss: 239390.45949707032, MAE: 84.32182445526124, Val Loss: 343916.3016276042, Val MAE: 98.41026941935222
Epoch [33/400], Loss: 233487.63502604168, MAE: 85.29782803853352, Val Loss: 348965.6890625, Val MAE: 92.66487147013346
Epoch [34/400], Loss: 236346.57918294272, MAE: 83.81427872975668, Val Loss: 345568.04791666666, Val MAE: 94.21422653198242
