Epoch [1/400], Loss: 9966.564817810058, MAE: 19.072040033340453, Val Loss: 6724.184753417969, Val MAE: 16.998198080062867
Epoch [2/400], Loss: 9161.001160430907, MAE: 17.20523958206177, Val Loss: 8167.829443359375, Val MAE: 19.01382303237915
Epoch [3/400], Loss: 9827.508124542237, MAE: 17.875694102048875, Val Loss: 7390.575280761719, Val MAE: 17.493042850494383
Epoch [4/400], Loss: 9673.821449279785, MAE: 18.669589507579804, Val Loss: 8564.052478027344, Val MAE: 17.824702119827272
Epoch [5/400], Loss: 9410.952227783204, MAE: 18.009474402666093, Val Loss: 8706.50096435547, Val MAE: 20.01280584335327
Epoch [6/400], Loss: 8862.064045715331, MAE: 17.420596957206726, Val Loss: 9299.591235351563, Val MAE: 21.096436548233033
Epoch [7/400], Loss: 9509.63302192688, MAE: 18.024303764104843, Val Loss: 10005.093884277343, Val MAE: 21.765525007247923
Epoch [8/400], Loss: 9885.671031188966, MAE: 18.49517803788185, Val Loss: 7718.057775878906, Val MAE: 18.17674207687378
Epoch [9/400], Loss: 9358.418301010131, MAE: 17.758308005332946, Val Loss: 7773.314782714844, Val MAE: 18.28780117034912
Epoch [10/400], Loss: 9053.993194198609, MAE: 17.462801283597948, Val Loss: 10348.73087158203, Val MAE: 21.88423728942871
Epoch [11/400], Loss: 9525.377496337891, MAE: 18.42457185983658, Val Loss: 8198.784362792969, Val MAE: 18.899205493927003
Epoch [12/400], Loss: 8777.360525512695, MAE: 17.07015906572342, Val Loss: 8235.645678710938, Val MAE: 19.46397747993469
Epoch [13/400], Loss: 9043.69507522583, MAE: 17.588641232252122, Val Loss: 7869.480847167969, Val MAE: 18.630000257492064
Epoch [14/400], Loss: 9454.945577907562, MAE: 17.946649038791655, Val Loss: 7376.214453125, Val MAE: 17.574438762664794
Epoch [15/400], Loss: 8539.587699890137, MAE: 17.109657150506973, Val Loss: 7677.391790771484, Val MAE: 16.69472441673279
Epoch [16/400], Loss: 9301.255160522462, MAE: 17.571066677570343, Val Loss: 7970.773345947266, Val MAE: 17.908127641677858
Epoch [17/400], Loss: 8706.802119445802, MAE: 17.257647424936295, Val Loss: 7746.57564086914, Val MAE: 17.69703598022461
Epoch [18/400], Loss: 8757.919902801514, MAE: 16.99410625696182, Val Loss: 7761.058386230468, Val MAE: 18.241845035552977
Epoch [19/400], Loss: 9275.80481185913, MAE: 17.937291127443313, Val Loss: 7541.854321289063, Val MAE: 18.040723085403442
Epoch [20/400], Loss: 9046.619985198975, MAE: 17.60567878484726, Val Loss: 8041.7449951171875, Val MAE: 18.915977478027344
Epoch [21/400], Loss: 9364.163779449464, MAE: 17.570235604047774, Val Loss: 8111.351892089844, Val MAE: 18.238786458969116
Epoch [22/400], Loss: 9297.405139160157, MAE: 17.948633509874345, Val Loss: 6932.3387451171875, Val MAE: 17.378826761245726
Epoch [23/400], Loss: 9425.35655899048, MAE: 17.675561320781707, Val Loss: 8224.944592285156, Val MAE: 19.2002703666687
Epoch [24/400], Loss: 8839.6241355896, MAE: 17.26266015172005, Val Loss: 6884.276806640625, Val MAE: 16.540436220169067
Epoch [25/400], Loss: 9349.647203063965, MAE: 17.76465585231781, Val Loss: 8175.65810546875, Val MAE: 19.01703839302063
Epoch [26/400], Loss: 9456.977574920655, MAE: 18.096687853336334, Val Loss: 7798.578698730469, Val MAE: 18.414901971817017
Epoch [27/400], Loss: 9223.516625785827, MAE: 18.072984683513642, Val Loss: 7720.555200195313, Val MAE: 18.323023557662964
Epoch [28/400], Loss: 9045.889485168456, MAE: 17.482496720552444, Val Loss: 9136.795764160157, Val MAE: 20.475815725326537
Epoch [29/400], Loss: 9541.175104522705, MAE: 17.780899834632873, Val Loss: 8772.50880126953, Val MAE: 20.09335150718689
Epoch [30/400], Loss: 9124.447116851807, MAE: 17.812558388710023, Val Loss: 7199.552319335938, Val MAE: 17.648566794395446
Epoch [31/400], Loss: 8820.91845703125, MAE: 17.61821721792221, Val Loss: 7543.450305175781, Val MAE: 18.55560212135315
