Epoch [1/400], Loss: 1540464.4141601562, MAE: 192.7100347518921, Val Loss: 384344.48684895836, Val MAE: 94.04070803324382
Epoch [2/400], Loss: 265487.1271484375, MAE: 89.22754491170248, Val Loss: 179761.91510416666, Val MAE: 86.9989397684733
Epoch [3/400], Loss: 187556.36889648438, MAE: 73.97021474838257, Val Loss: 194172.93603515625, Val MAE: 67.49211031595866
Epoch [4/400], Loss: 137146.381640625, MAE: 66.91620667775472, Val Loss: 211446.001953125, Val MAE: 86.09927914937337
Epoch [5/400], Loss: 134788.8983194987, MAE: 66.92369372049967, Val Loss: 367491.41484375, Val MAE: 90.9191328684489
Epoch [6/400], Loss: 156422.85794270833, MAE: 68.59934199651083, Val Loss: 122293.27122395833, Val MAE: 63.242698160807294
Epoch [7/400], Loss: 87893.39905192057, MAE: 53.77722908655802, Val Loss: 102342.03046875, Val MAE: 61.817403666178386
Epoch [8/400], Loss: 76087.51809387207, MAE: 49.1461891969045, Val Loss: 139602.47535807293, Val MAE: 60.06738122304281
Epoch [9/400], Loss: 80611.66075032552, MAE: 51.66435062090556, Val Loss: 172017.09033203125, Val MAE: 64.64199860890706
Epoch [10/400], Loss: 63747.71692708333, MAE: 45.742249488830566, Val Loss: 347092.1520426432, Val MAE: 94.38168455759684
Epoch [11/400], Loss: 53717.15958658854, MAE: 41.019190549850464, Val Loss: 147712.12880859376, Val MAE: 67.42583713531494
Epoch [12/400], Loss: 31729.135095214842, MAE: 34.48176705042521, Val Loss: 184304.26184895833, Val MAE: 80.32175521850586
Epoch [13/400], Loss: 32725.207602945964, MAE: 32.52064700126648, Val Loss: 163871.17377929686, Val MAE: 67.06556510925293
Epoch [14/400], Loss: 47097.10540161133, MAE: 38.125913286209105, Val Loss: 379425.7915690104, Val MAE: 95.45239353179932
Epoch [15/400], Loss: 68335.80757242838, MAE: 46.07389839490255, Val Loss: 136680.38776041666, Val MAE: 74.14406255086263
Epoch [16/400], Loss: 61569.95186360677, MAE: 42.92618541717529, Val Loss: 106294.253515625, Val MAE: 65.57522265116374
Epoch [17/400], Loss: 28913.899397277833, MAE: 32.19378233750661, Val Loss: 216623.9095703125, Val MAE: 74.06215998331706
Epoch [18/400], Loss: 23861.399717203774, MAE: 26.474673501650493, Val Loss: 255518.27721354167, Val MAE: 81.38800671895345
Epoch [19/400], Loss: 37107.92270914713, MAE: 32.22084064483643, Val Loss: 209194.79088541667, Val MAE: 81.553151957194
Epoch [20/400], Loss: 21876.503202311196, MAE: 26.77212560971578, Val Loss: 193449.271484375, Val MAE: 80.87021509806316
