Epoch [1/400], Loss: 214468.6001083374, MAE: 70.1154513835907, Val Loss: 46384.6384765625, Val MAE: 49.90892219543457
Epoch [2/400], Loss: 12477.558307266236, MAE: 21.0593709141016, Val Loss: 7090.6341552734375, Val MAE: 17.359851169586182
Epoch [3/400], Loss: 6045.713179397583, MAE: 14.22796351313591, Val Loss: 6705.633294677735, Val MAE: 16.236230969429016
Epoch [4/400], Loss: 3681.797046661377, MAE: 11.110830530524254, Val Loss: 6212.080563354492, Val MAE: 15.194211030006409
Epoch [5/400], Loss: 3122.0958724975585, MAE: 10.480627316236497, Val Loss: 5603.422595214844, Val MAE: 14.34453341960907
Epoch [6/400], Loss: 3204.528049659729, MAE: 10.7350594997406, Val Loss: 4739.1395812988285, Val MAE: 13.939349126815795
Epoch [7/400], Loss: 3156.8571716308593, MAE: 10.70619040429592, Val Loss: 4010.8354831695556, Val MAE: 11.260296082496643
Epoch [8/400], Loss: 2467.56226644516, MAE: 9.245099206268787, Val Loss: 5322.791979217529, Val MAE: 12.927155470848083
Epoch [9/400], Loss: 1951.1718037605285, MAE: 8.255620068311691, Val Loss: 3290.669957733154, Val MAE: 10.070323288440704
Epoch [10/400], Loss: 2242.2210081100466, MAE: 9.164025211334229, Val Loss: 6457.581649780273, Val MAE: 13.307117319107055
Epoch [11/400], Loss: 1252.0347627639771, MAE: 6.64941608607769, Val Loss: 4018.204641723633, Val MAE: 11.652201557159424
Epoch [12/400], Loss: 1047.1230098724366, MAE: 6.1391021579504015, Val Loss: 4083.102360534668, Val MAE: 12.308235025405883
Epoch [13/400], Loss: 1005.8242189764976, MAE: 5.805021339654923, Val Loss: 3896.913011932373, Val MAE: 11.170152288675308
Epoch [14/400], Loss: 593.3982070922851, MAE: 4.450718010962009, Val Loss: 5606.133374023438, Val MAE: 14.032029366493225
Epoch [15/400], Loss: 817.5054513931275, MAE: 5.5217591434717175, Val Loss: 4096.363452148437, Val MAE: 11.47492070198059
